Slice,X,Y,Distance
3,537,549,537.0754
3,439,540,439
3,564,548,564.0567
3,459,548,459.0697
3,488,567,488.7464
3,512,580,513.5601
3,530,591,532.4481
3,503,600,506.5659
3,510,619,516.0824
3,500,635,508.945
3,544,638,552.7567
3,559,646,568.9613
3,511,667,526.5453
3,547,675,563.4128
3,574,683,591.5446
3,512,691,533.8024
3,490,692,513.0341
3,534,699,557.1687
3,556,697,577.7413
3,446,704,475.1968
3,466,712,496.7293
3,564,716,590.8232
3,407,717,443.822
3,519,720,549.3278
3,442,725,479.1545
3,432,740,476.0504
3,468,754,514.6066
3,384,753,439.1184
3,415,770,474.4734
3,508,768,556.8195
3,354,784,429.9442
3,462,781,521.0806
3,389,788,461.3296
3,527,788,582.4371
3,473,793,536.4122
3,423,807,500.218
3,496,804,561.8826
3,471,815,545.4044
3,516,810,582.371
3,376,820,468.8027
3,415,825,503.4382
3,499,828,576.1467
3,464,840,552.536
3,372,858,489.3955
3,502,849,589.4786
3,403,851,509.0481
3,275,855,418.1507
3,479,853,572.1975
3,230,867,399.7862
3,434,868,544.0037
3,403,878,525.9781
3,163,868,366.269
3,475,874,580.6729
3,155,877,370.9367
3,255,879,424.2004
3,319,885,469.8787
3,124,880,361.9061
3,227,888,415.4913
3,461,886,576.4
3,433,908,568.2543
3,176,893,394.4426
3,354,895,501.3392
3,215,910,427.9311
3,10,913,373.134
3,253,904,443.2888
3,321,904,485.3215
3,131,913,395.3353
3,167,906,402.2996
3,282,916,470
3,27,915,375.9707
3,151,913,402.4053
3,359,913,517.6968
3,311,919,490.2673
3,340,920,509.902
3,172,918,415.2927
3,91,942,412.1711
3,369,928,535.4484
3,154,944,432.3563
3,47,937,399.7724
3,182,932,432.1898
3,266,938,478.7066
3,212,940,452.7074
3,294,940,496.4232
3,337,939,522.2739
3,17,939,399.362
3,420,944,582.7658
3,358,948,542.7965
3,319,956,524.2299
3,21,959,419.5259
3,194,956,459.012
3,388,959,571.056
3,270,965,503.5127
3,143,968,451.2571
3,230,971,488.5294
3,308,971,529.7405
3,46,975,437.4254
3,208,973,480.3676
3,323,980,545.8287
3,379,982,582.2414
3,9,984,444.0912
3,73,982,447.9877
3,212,990,497.4374
3,346,994,570.817
3,95,995,464.8118
3,172,993,484.5544
3,310,997,552.2219
3,261,1012,539.3561
3,293,1007,551.3057
3,43,1014,475.9464
3,69,1017,481.9647
3,172,1026,515.5386
3,211,1022,526.1606
3,143,1020,500.8483
3,42,1040,501.7609
3,225,1043,551.0299
3,89,1043,510.8131
3,113,1045,517.4882
3,164,1055,540.4822
3,51,1057,519.5094
3,79,1063,528.9329
3,19,1064,524.3444
3,109,1065,536.1959
4,20,62,478.4182
4,67,67,477.7217
4,57,90,453.5956
4,106,85,467.1841
4,27,87,453.8039
4,79,96,450.9734
4,16,110,430.2976
4,105,109,443.6057
4,49,109,433.7764
4,147,117,447.8147
4,60,127,417.3356
4,167,134,439.0046
4,189,137,445.118
4,21,138,402.5481
4,42,142,400.2099
4,76,148,399.2994
4,121,155,403.5666
4,174,157,420.6721
4,15,165,375.2999
4,313,177,479.3099
4,155,195,378.2195
4,97,190,363.1928
4,188,190,397.2959
4,133,197,367.8831
4,299,202,451.2704
4,74,203,345.029
4,196,202,390.7173
4,325,205,466.744
4,212,211,391.3886
4,247,215,408.2083
4,55,218,326.6634
4,120,223,338.9528
4,150,220,353.4119
4,184,225,364.8027
4,313,227,442.6488
4,197,229,368.144
4,257,231,401.9079
4,80,236,314.3501
4,356,237,467.488
4,147,240,334.0793
4,178,242,347.1138
4,109,243,316.37
4,391,252,485.6182
4,166,248,335.8869
4,234,260,364.9055
4,259,267,376.311
4,351,270,442.8329
4,182,267,328.1052
4,223,281,341.7748
4,185,292,309.401
4,368,299,439.892
4,315,298,397.2266
4,294,307,375.1333
4,232,313,324.5813
4,182,313,290.9519
4,248,315,334.8567
4,339,313,407.9828
4,437,315,491.5221
4,277,330,347.6047
4,213,319,306.9365
4,369,319,430.1186
4,416,326,467.8162
4,196,331,286.5257
4,391,340,439.1822
4,343,342,396.0467
4,366,340,417.0803
4,469,349,506.401
4,307,362,354.8704
4,416,373,448.2689
4,357,372,394.5542
4,497,375,523.6736
4,330,380,366.7424
4,448,382,475.0453
4,474,385,498.6993
4,513,402,531.2372
4,393,398,417.8672
4,445,408,464.1648
4,494,408,511.3316
4,473,419,488.2315
4,511,428,523.13
4,457,438,468.2446
4,500,459,506.5185
4,443,470,448.4964
4,526,474,530.1245
4,498,493,500.213
4,464,495,466.177
4,543,490,545.2972
4,437,513,437.8333
4,560,514,560.6032
4,535,524,535.2392
4,464,518,464.5213
4,509,523,509.2838
4,515,538,515.0039
4,535,552,535.1346
4,478,556,478.2677
4,566,555,566.1987
4,560,572,560.9135
4,513,582,514.7164
4,476,587,478.3147
4,549,595,551.7481
4,533,627,540.0537
4,505,626,512.2704
4,519,646,529.7141
4,553,643,562.5104
4,490,664,505.4463
4,553,664,566.7319
4,504,688,525.2809
4,545,696,566.8871
4,455,711,486.072
4,518,717,547.4057
4,435,738,477.9425
4,495,754,539.2782
4,408,781,473.8618
4,384,794,460.4042
4,469,802,537.2197
4,407,815,491.1965
4,516,811,582.8353
4,464,830,547.1709
4,378,832,477.6484
4,421,838,515.7955
4,503,846,588.7657
4,458,852,554.1733
4,396,854,505.383
4,372,866,494.6312
4,436,870,546.8053
4,325,876,467.4623
4,417,870,531.7791
4,211,884,403.5554
4,405,883,530.7297
4,468,891,585
4,433,893,558.6573
4,380,893,518.6608
4,255,911,450.1844
4,353,910,511.3795
4,448,906,578.4981
4,238,911,440.7777
4,313,909,483.8698
4,414,916,559.2602
4,277,917,467.8226
4,367,929,534.799
4,83,951,419.297
4,229,936,457.4462
4,205,938,447.693
4,35,938,399.536
4,424,940,582.9031
4,267,945,485.0917
4,356,949,542.2333
4,25,956,416.7505
4,323,959,529.0463
4,256,964,495.2898
4,142,961,444.3028
4,167,964,455.7028
