time index	time	ROI Number	ROI Area	ROI Perimeter	ROI Major Axis	ROI Minor Axis	ROI Center row	ROI Center col	ROI Eccentricity	ROI Solidity	ROI Convex Area	ROI Compactness	ROI MeanI_ch1	ROI MeanI_ch2	ROI MeanI_ch3	ROI MeanI_ch4	ROI MeanI_I ch5	ROI Corr ch1 vs 2	ROI Corr ch1 vs 3	ROI Corr ch1 vs 4	ROI Corr ch1 vs 5	ROI Corr ch2 vs 3	ROI Corr ch2 vs 4	ROI Corr ch2 vs 5	ROI Corr ch3 vs 4	ROI Corr ch3 vs 5	ROI Corr ch4 vs 5	NumPatches	PatchPop Perc. Area 	PatchPop Av. Area	PatchPop Av. Length	PatchPop Av. Min. Axis	PatchPop Av. Eccentricity	PatchPop Av. Angle	PatchPop Stdev Angle	PatchPop Av. Perimeter	PatchPop Av. Convex Area	PatchPop Av. Solidity	PatchPop Av. Compactness	PatchPop Av. Dist. Border	PatchPopMean Av. Dist. Center	PatchPop Av. MeanI_ch1	PatchPop Stdev MeanI_ch1	PatchPop Av. MaxI_ch1	PatchPop Av. MeanI_ch2	PatchPop Stdev MeanI_ch2	PatchPop Av. MaxI_ch2	PatchPop Av. MeanI_ch3	PatchPop Stdev MeanI_ch3	PatchPop Av. MaxI_ch3	PatchPop Av. MeanI_ch4	PatchPop Stdev MeanI_ch4	PatchPop Av. MaxI_ch4	PatchPop Av. MeanI_ch5	PatchPop Stdev MeanI_ch5	PatchPop Av. MaxI_ch5	PatchPop MeanI_ch1	PatchPop MeanI_ch2	PatchPop MeanI_ch3	PatchPop MeanI_ch4	PatchPop MeanI_ch5	PatchPop Corr ch1 vs 2	PatchPop Corr ch1 vs 3	PatchPop Corr ch1 vs 4	PatchPop Corr ch1 vs 5	PatchPop Corr ch2 vs 3	PatchPop Corr ch2 vs 4	PatchPop Corr ch2 vs 5	PatchPop Corr ch3 vs 4	PatchPop Corr ch3 vs 5	PatchPop Corr ch4 vs 5	PatchPop MeanICorr ch1 vs 2	PatchPop MeanICorr ch1 vs 3	PatchPop MeanICorr ch1 vs 4	PatchPop MeanICorr ch1 vs 5	PatchPop MeanICorr ch2 vs 3	PatchPop MeanICorr ch2 vs 4	PatchPop MeanICorr ch2 vs 5	PatchPop MeanICorr ch3 vs 4	PatchPop MeanICorr ch3 vs 5	PatchPop MeanICorr ch4 vs 5	ROI Velocity	ROI trace ID	Averaged Roi Size	Average Roi Velocity	Roi Path Length	Roi Displacement	Directional Persistence
20	6006093.500000	1	2631.278564	223.127762	35.118156	24.260122	310	523	0.309186	1.085668	2856.694336	1.227058	21.070778	7.741865				0.186145										46	1.423916	0.814504	0.656103	0.336336	0.506636	3.413043	61.650115	2.936053	0.594120	0.552987	0.884181	2.496611	28.176789	202.534943	35.350128	440.000000	27.636988	13.985056	77.717391										199.797068	28.191657				0.298698										0.261399										0.001938	1	2798.637853	0.001183	25.546492	10.406934	0.407372
21	6306091.000000	1	2633.728516	221.941895	35.063019	24.275007	308	525	0.307675	1.079502	2843.114502	1.219969	22.806257	8.730830				0.201953										49	1.286266	0.691363	0.544183	0.318128	0.463090	2.346939	58.670177	2.483240	0.490936	0.490330	0.804271	2.234661	28.564371	226.701260	43.390836	443.040816	30.727532	16.157859	79.265306										231.164593	34.491271				0.184077										0.352022										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
22	6606012.000000	1	2631.827881	218.526077	34.717747	24.480467	306	526	0.294872	1.075932	2831.667236	1.201627	20.961096	7.803615				0.198887										36	1.251886	0.915208	0.662816	0.361254	0.487752	12.638889	57.309761	3.030460	0.678192	0.550612	0.875109	2.235092	28.005826	227.949239	46.922777	456.805556	34.012653	17.392816	90.972222										225.097437	33.893588				0.090086										0.277994										0.002166	1	2798.637853	0.001183	25.546492	10.406934	0.407372
23	6904444.500000	1	2636.305176	224.180069	34.319752	24.800255	305	529	0.277377	1.082540	2853.906250	1.231670	20.412998	8.049190				0.161719										25	0.865218	0.912392	0.693757	0.355279	0.501106	-10.360000	57.330097	3.134825	0.671622	0.566751	0.890013	2.424902	28.567253	261.637834	56.511565	511.520000	27.879134	11.056666	84.640000										266.353706	31.566666				0.049333										-0.215579										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
24	7204338.500000	1	2613.664551	219.718140	33.722931	25.035295	304	531	0.257618	1.083635	2832.258301	1.212372	22.098326	9.138292				0.199774										29	0.893723	0.805480	0.651329	0.319038	0.516433	21.137931	57.578967	2.838365	0.580441	0.535377	0.897897	2.382126	27.308746	259.297605	39.234074	485.172414	42.993469	15.504294	107.793103										276.958406	41.895118				0.095765										0.183230										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
25	7504368.000000	1	2609.229248	219.011124	33.595573	25.126303	303	532	0.252095	1.083251	2826.449951	1.209498	23.228165	9.963673				0.227155										34	1.152644	0.884563	0.665506	0.374958	0.428795	6.205882	59.777253	3.134794	0.654726	0.589305	0.946841	2.378466	27.600696	265.284061	50.513524	526.970588	40.193692	17.148028	104.676471										281.242978	44.154496				0.107258										0.460008										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
26	7806050.500000	1	2642.599121	221.376709	34.280045	24.947206	304	531	0.272253	1.086236	2870.485840	1.214818	24.526478	10.803616				0.267763										32	1.251578	1.033569	0.777335	0.348551	0.548481	-10.562500	58.982741	3.389678	0.781447	0.575006	0.936123	2.398803	28.020757	277.869842	48.288738	548.375000	44.906370	18.845490	120.562500										296.853129	52.693487				0.186934										0.263408										0.000000	1	2798.637853	0.001183	25.546492	10.406934	0.407372
27	8106126.500000	1	2655.524658	222.468033	34.441689	24.945129	304	531	0.275729	1.086110	2884.192383	1.217832	22.542065	9.524934				0.237958										32	0.992572	0.823687	0.669980	0.323408	0.505719	0.187500	60.694602	2.912797	0.613805	0.540887	0.905774	2.405791	28.534349	278.497868	51.666451	526.875000	46.705124	21.996485	113.031250										287.857371	47.201924				0.005505										0.203276										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
28	8404424.000000	1	2695.526367	225.682465	35.008053	24.917496	305	530	0.288235	1.084793	2924.088379	1.226228	20.944855	9.158115				0.237756										30	0.874416	0.785671	0.694468	0.330909	0.507005	-18.133333	59.366038	3.040599	0.554053	0.592107	0.981886	2.630674	29.176644	259.729204	40.157533	491.266667	40.904539	16.599536	108.166667										273.453405	44.795699				0.302284										0.372680										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
29	8704360.000000	1	2736.583984	229.570969	35.693790	24.838062	306	531	0.304135	1.088167	2977.860840	1.237963	19.844395	8.268793				0.228127										40	1.180811	0.807847	0.667981	0.310850	0.544677	17.450000	64.066852	2.907505	0.574469	0.514341	0.883638	2.572837	28.976936	233.457321	63.559039	448.675000	38.472423	17.768066	103.375000										229.756860	40.422223				0.165881										0.654526										0.000000	1	2798.637853	0.001183	25.546492	10.406934	0.407372
30	9006075.000000	1	2725.770264	230.008743	35.812176	24.701090	306	531	0.310260	1.086936	2962.738525	1.242782	21.101210	8.987168				0.235839										23	0.714396	0.846644	0.770594	0.301857	0.591346	-8.304348	60.307119	3.181074	0.620750	0.571723	0.918403	2.389872	30.574844	285.611779	47.699857	553.347826	53.202668	19.244418	124.956522										285.180048	54.440347				0.115382										0.333761										0.000000	1	2798.637853	0.001183	25.546492	10.406934	0.407372
31	9304373.000000	1	2737.386475	231.936554	35.842728	24.801140	306	531	0.308057	1.085510	2971.461670	1.250536	21.653685	9.448777				0.234076										43	1.279222	0.814355	0.693501	0.332919	0.503488	-8.023256	53.590817	3.056581	0.603644	0.582858	0.958358	2.210585	29.493291	228.728634	39.676765	486.837209	41.963541	17.981320	112.488372										233.930036	45.313630				0.260527										0.448099										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
32	9606070.000000	1	2752.086182	229.544250	36.172798	24.703871	307	532	0.317059	1.074609	2957.416260	1.234328	21.583933	9.337928				0.218286										35	1.223274	0.961873	0.721974	0.360306	0.502351	8.885714	62.432444	3.291388	0.719896	0.573988	0.905240	2.325364	29.537446	229.753786	35.616776	492.542857	44.189449	19.231348	115.542857										232.804268	45.082810				0.217818										0.425990										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
33	9906084.000000	1	2773.924316	224.712372	36.503059	24.619558	308	531	0.325548	1.067680	2961.662598	1.203579	21.891184	9.702132				0.228620										39	1.129892	0.803650	0.660642	0.338886	0.464000	10.948718	59.782038	3.011093	0.569162	0.556484	0.925870	2.406913	29.589792	254.859394	39.312196	539.282051	42.685890	21.335043	121.128205										253.905661	46.846360				0.184096										0.245667										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
34	10206067.000000	1	2770.207275	230.325226	36.544842	24.577774	309	533	0.327463	1.064309	2948.355225	1.234470	20.628008	8.809018				0.231932										34	1.087189	0.885805	0.715939	0.356024	0.481568	7.235294	55.477573	3.225769	0.644166	0.599439	0.972920	2.357566	29.897800	233.601504	44.130469	505.382353	44.503847	18.662686	123.205882										236.976157	46.833101				0.225540										0.455945										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
35	10504380.000000	1	2788.497314	226.525085	36.895554	24.514835	310	534	0.335561	1.062380	2962.442627	1.210114	20.936106	9.098598				0.235520										38	1.033099	0.758103	0.640462	0.321242	0.487808	4.342105	58.963698	2.840458	0.533007	0.534572	0.917636	2.309215	30.086878	236.681207	36.539217	465.263158	44.487588	20.509165	104.868421										237.923752	50.011732				0.198446										0.138674										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
36	10804393.000000	1	2782.879395	226.525085	36.990322	24.366106	311	535	0.341284	1.054962	2935.832031	1.211335	21.343599	9.346362				0.204051										35	1.091345	0.867738	0.728533	0.344319	0.502301	2.400000	58.691717	3.242004	0.611278	0.594044	0.992235	2.312916	29.697631	240.741973	37.010563	507.057143	41.790228	15.978597	111.942857										247.119614	44.450626				0.145616										0.203269										0.002055	1	2798.637853	0.001183	25.546492	10.406934	0.407372
37	11106045.000000	1	2829.470459	234.524109	37.805195	24.306280	314	535	0.357065	1.074307	3039.721191	1.243741	18.908039	8.197447				0.175917										54	1.316713	0.689926	0.624677	0.309614	0.482009	21.814815	55.567424	2.723277	0.485373	0.530117	0.908083	2.610596	29.379467	175.730368	39.871984	389.407407	29.979588	16.008289	76.685185										175.747168	29.303856				0.113256										0.428591										0.001938	1	2798.637853	0.001183	25.546492	10.406934	0.407372
38	11404390.000000	1	2883.960449	238.217407	37.967491	24.701004	316	537	0.349417	1.089945	3143.358643	1.251336	16.278345	6.961333				0.168580										29	0.821677	0.817132	0.692937	0.302134	0.527659	11.724138	59.612377	2.912850	0.595735	0.509205	0.921648	2.392108	29.553797	180.046245	29.816175	361.000000	33.137211	17.533689	87.724138										190.878790	36.625669				0.162776										0.274824										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
39	11704372.000000	1	2866.177246	236.647171	37.798447	24.652769	317	538	0.347784	1.082715	3103.251953	1.246938	15.410499	6.301825				0.151915										32	0.816459	0.731286	0.649322	0.310498	0.504200	5.781250	62.623676	2.814659	0.512164	0.535041	0.920706	2.434845	30.670145	173.381640	34.920880	352.781250	26.639643	16.155260	73.031250										179.494586	30.568592				0.075716										0.153012										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
40	12006102.000000	1	2866.810791	238.796967	37.919296	24.602562	318	540	0.351186	1.082107	3102.195557	1.258127	17.170622	7.405826				0.191270										36	0.828066	0.659419	0.580853	0.289911	0.486648	11.833333	66.283159	2.533091	0.450564	0.462608	0.877805	2.413353	30.105207	193.095505	43.711950	398.888889	34.494349	22.790604	83.444444										202.681499	36.743773				0.202858										0.644059										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
41	12306069.000000	1	2909.431396	242.395691	38.186710	24.888672	320	539	0.348237	1.073224	3122.470459	1.267698	17.200645	7.456183				0.197366										35	0.948053	0.788084	0.612454	0.330998	0.479160	16.857143	60.741566	2.790789	0.556969	0.520447	0.862085	2.359822	30.848712	198.169926	47.104498	417.600000	36.906242	19.400000	103.257143										204.004597	40.548238				0.259043										0.330783										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
42	12604382.000000	1	2904.869385	245.359390	38.523914	24.760292	321	541	0.357275	1.076960	3128.427002	1.284205	23.175119	10.272212				0.216271										50	1.317435	0.765395	0.611391	0.327264	0.439774	18.160000	56.482022	2.733518	0.536030	0.519810	0.875222	2.299536	30.258138	227.207772	46.704801	466.540000	41.970380	21.481499	105.680000										235.403971	45.022074				0.225569										0.603067										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
43	12904410.000000	1	2915.767578	242.893097	38.752586	24.651369	323	542	0.363878	1.073557	3130.242920	1.268919	23.545025	10.380860				0.233851										43	1.270499	0.861507	0.667590	0.371721	0.388895	-0.186047	59.154864	3.135254	0.637044	0.596020	0.963524	2.399638	31.659889	232.826517	44.506698	497.883721	41.770717	20.719603	120.511628										244.856332	47.718359				0.227393										0.526935										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
44	13204409.000000	1	2933.297119	239.841034	38.905540	24.729866	325	543	0.364361	1.065824	3126.377686	1.249225	26.993923	12.575306				0.241484										40	1.177945	0.863815	0.672701	0.342963	0.463621	11.000000	64.478579	2.995624	0.619349	0.543616	0.911459	2.347939	30.124725	283.454337	40.231346	547.275000	51.393942	21.789855	127.625000										298.893644	56.185821				0.185308										0.510576										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
