patch trace ID	Trace Lifetime (timepoints)	Trace Average Velocity	Trace Average Velocity Leading	Trace Average Velocity Trailing	Trace Average Angle of Movement	Trace Average Patch Area Growth	Trace Average Patch Length Growth	Trace Average Patch Delta Intensity_ch1	Trace Average Patch Delta Integrated Intensity_ch1	Trace Cumulated integrated intensity_ch1	Trace Average Patch Delta Intensity_ch2	Trace Average Patch Delta Integrated Intensity_ch2	Trace Cumulated integrated intensity_ch2	Trace Average Patch Delta Intensity_ch3	Trace Average Patch Delta Integrated Intensity_ch3	Trace Cumulated integrated intensity_ch3	Trace Average Patch Delta Intensity_ch4	Trace Average Patch Delta Integrated Intensity_ch4	Trace Cumulated integrated intensity_ch4	Trace Average Patch Delta Intensity_ch5	Trace Average Patch Delta Integrated Intensity_ch5	Trace Cumulated integrated intensity_ch5	Patch Path Length	Patch Displacement	Patch Trace Directional Persistence
205	2	0.001412	0.001370	0.001370	104.036238	0.084480	0.000000	-88.000000	188.000000	1268.000000	1.250000	34.000000	92.000000			0.000000			0.000000			0.000000	0.423700	0.423700	1.000000
206	1									1442.000000			126.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
207	5	0.001526	0.001983	0.003856	125.243853	-0.168961	-0.038543	-3.111111	-1096.000000	53197.000000	-0.033333	-203.500000	8608.000000			0.000000			0.000000			0.000000	1.831104	1.163539	0.635430
208	3	0.001050	0.001920	0.001897	161.561985	0.506884	0.196631	-1.943750	2962.000000	17979.000000	-9.506250	208.500000	2633.000000			0.000000			0.000000			0.000000	0.630202	0.619275	0.982661
209	4	0.001283	0.001108	0.002386	-109.410224	-1.140490	-0.522194	115.137097	-5361.000000	9286.000000	33.129032	-620.000000	1339.000000			0.000000			0.000000			0.000000	0.961652	0.892320	0.927904
210	1									507.000000			24.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
211	5	0.000951	0.001958	0.002201	-56.921702	-0.105601	-0.058320	-12.922514	-720.250000	13770.000000	-0.551169	-78.250000	1490.000000			0.000000			0.000000			0.000000	1.140719	0.719333	0.630596
212	4	0.000674	0.001062	0.001062	-28.802612	0.140801	0.121182	-21.444444	704.333333	6472.000000	-16.305556	26.000000	674.000000			0.000000			0.000000			0.000000	0.606267	0.460845	0.760135
213	1									1049.000000			150.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
214	5	0.001286	0.002267	0.004311	107.144950	0.084481	0.088103	-7.434615	407.750000	21739.000000	-9.515384	5.500000	4065.000000			0.000000			0.000000			0.000000	1.543057	0.410624	0.266111
215	5	0.002079	0.002125	0.002229	-117.439393	0.242882	0.107971	-5.821429	1217.000000	19637.000000	-5.976786	113.250000	3890.000000			0.000000			0.000000			0.000000	2.494563	0.382420	0.153301
216	1									871.000000			34.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
217	1									977.000000			208.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
218	1									1071.000000			61.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
219	4	0.001636	0.003602	0.001008	-175.220540	0.183041	0.089705	47.844444	1354.666667	18591.000000	-3.977778	222.000000	3109.000000			0.000000			0.000000			0.000000	1.471944	0.222308	0.151030
220	9	0.000791	0.000977	0.001012	-103.546882	0.010560	0.015878	9.375000	77.750000	60197.000000	3.656250	15.125000	7377.000000			0.000000			0.000000			0.000000	1.897745	1.571961	0.828331
221	2	0.001388	0.002166	0.000685	163.842000	-0.253442	-0.214886	35.472727	-907.000000	3069.000000	-4.672727	-121.000000	237.000000			0.000000			0.000000			0.000000	0.416282	0.416282	1.000000
222	6	0.000754	0.001789	0.001403	-19.831751	0.177409	0.047763	0.600000	766.200000	26145.000000	-1.703226	77.400000	2690.000000			0.000000			0.000000			0.000000	1.131547	0.655520	0.579313
223	7	0.000800	0.001601	0.001309	92.673721	0.007040	0.003393	-8.194445	13.333333	15476.000000	2.902778	13.000000	1666.000000			0.000000			0.000000			0.000000	1.439508	0.585835	0.406969
224	3	0.001077	0.001755	0.000343	21.381428	0.105601	0.091991	-10.611111	472.000000	5325.000000	2.388889	31.500000	288.000000			0.000000			0.000000			0.000000	0.646206	0.577060	0.892996
225	6	0.001207	0.002313	0.001493	-49.368667	0.287234	0.097436	-7.763768	1180.800000	46143.000000	1.065942	192.400000	4628.000000			0.000000			0.000000			0.000000	1.810096	0.558785	0.308705
226	6	0.000883	0.002384	0.002226	5.914317	0.168961	0.079469	10.263636	1041.800000	18736.000000	0.700000	89.400000	2156.000000			0.000000			0.000000			0.000000	1.325060	0.972020	0.733567
227	2	0.000492	0.000685	0.000685	-145.303129	-0.211202	-0.172927	-31.755682	-1419.000000	5427.000000	-2.897727	-155.000000	633.000000			0.000000			0.000000			0.000000	0.147714	0.147714	1.000000
228	5	0.000371	0.000948	0.000818	-152.700146	0.021120	0.046326	31.166666	291.000000	3632.000000	1.833334	17.000000	174.000000			0.000000			0.000000			0.000000	0.519236	0.423699	0.816004
229	4	0.001779	0.001344	0.002301	134.082793	0.000000	-0.064708	-4.869565	-112.000000	24474.000000	-1.333333	-30.666667	2810.000000			0.000000			0.000000			0.000000	1.601440	1.599218	0.998612
230	3	0.001398	0.001796	0.000969	-144.217466	0.021120	-0.001537	-38.500000	-16.500000	2554.000000	-6.125000	-10.000000	206.000000			0.000000			0.000000			0.000000	0.838774	0.802599	0.956871
231	5	0.000982	0.001028	0.002055	76.436238	-0.052800	-0.067519	4.059524	-174.500000	12950.000000	6.086310	35.000000	1794.000000			0.000000			0.000000			0.000000	1.178340	0.860628	0.730373
232	1									1005.000000			222.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
233	1									1497.000000			286.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
234	4	0.001092	0.001743	0.001461	-56.806595	0.154881	0.083357	-7.126984	555.333333	7454.000000	6.746032	128.666667	1045.000000			0.000000			0.000000			0.000000	0.982433	0.962223	0.979428
235	5	0.001304	0.001967	0.002152	-178.078192	-0.031680	-0.093593	10.928977	-49.000000	14768.000000	1.130682	-16.250000	2595.000000			0.000000			0.000000			0.000000	1.564310	1.179208	0.753820
236	1									4378.000000			278.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
237	4	0.001759	0.001331	0.003116	108.098934	-0.112641	-0.057338	-10.118056	-685.000000	11979.000000	-1.354167	-89.666667	1639.000000			0.000000			0.000000			0.000000	1.582695	0.725275	0.458253
238	2	0.000712	0.000969	0.000685	-164.055034	0.000000	-0.112362	8.428572	59.000000	3029.000000	-14.142857	-99.000000	401.000000			0.000000			0.000000			0.000000	0.213748	0.213748	1.000000
239	4	0.000871	0.000856	0.001170	-136.854694	0.549125	0.240077	-22.764550	2328.000000	9527.000000	-27.010582	-96.000000	1359.000000			0.000000			0.000000			0.000000	0.761345	0.441008	0.579248
240	2	0.001263	0.000969	0.001532	139.398293	-0.084481	-0.062161	20.657143	-373.000000	2961.000000	17.400000	63.000000	231.000000			0.000000			0.000000			0.000000	0.378969	0.378969	1.000000
241	5	0.001143	0.002822	0.002045	58.411069	-0.158401	-0.075736	-26.470779	-1240.750000	20274.000000	-0.495130	-76.250000	2313.000000			0.000000			0.000000			0.000000	1.372095	0.919062	0.669824
242	5	0.001015	0.000968	0.002306	-168.727192	0.105601	0.065403	-9.517857	450.500000	22405.000000	-6.857143	26.500000	3762.000000			0.000000			0.000000			0.000000	1.218420	0.367668	0.301758
243	4	0.000794	0.001691	0.000739	91.130485	-0.084481	-0.050151	-15.708333	-447.666667	8551.000000	-5.500000	-97.000000	1326.000000			0.000000			0.000000			0.000000	0.714846	0.595888	0.833590
244	3	0.001235	0.001532	0.002509	-76.737937	-0.147841	-0.233577	-19.826389	-962.000000	10089.000000	-5.468750	-161.000000	1277.000000			0.000000			0.000000			0.000000	0.740974	0.736585	0.994076
245	3	0.001932	0.001713	0.004342	77.068260	0.168961	0.171092	-40.369565	63.500000	13836.000000	-3.023188	75.000000	2114.000000			0.000000			0.000000			0.000000	1.159284	0.214835	0.185317
